PublicName / Nom public,AgencyDescription / Descriptiondelorganisme,PhysicalAddress1 / Adressemunicipale1,PhysicalAddress2 / Adressemunicipale2,UpdatedOn / Misàjourle,LanguageOfRecord / Languedudossier,PhysicalCity / Villephysique,PhysicalStateProvince / Étatprovincephysique,PhysicalPostalCode / Codepostal,Latitude / Latitude,Longitude / Longitude,PhoneNumberBusinessLine / Numérodetéléphonedaffaires,PhoneTollFree / Téléphonesansfrais,PhoneTTY / TéléphoneATS,PhoneFax / Télécopieur,WebsiteAddress / Adressedusite Web,Hours / Heures,DisabilitiesAccess/ Accèspourhandicapés,FeeStructureSource / Sourcedeléchelledestarifs,ApplicationProcess / Processusdedemande,Eligibility / Admissibilité,LanguagesOfferedList / Listedeslanguesoffertes,Coverage / Portée
"Point in Time Centre for Children, Youth and Parents - Counselling Services - Haliburton",Individual counselling services for youth ages 12 to 18 years old.,69 Eastern Avenue,PO Box 1306,May 14 2015  1:32:00,English,Cambray,ON,K0M 2T0,44.4119178,-78.8236512,705-457-5345,,,705-286-2191,http://www.pointintime.ca,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Unknown,Free,Self Referral No Documentation Required,Youth 12 to 18 years old,English,"Haliburton, Kawartha Lakes"
"Point in Time Centre for Children, Youth and Parents - Counselling Services - Haliburton",Conseil individuelle pour les jeunes 12 à 18 ans.,"69, avenue Eastern",CP 1306,May 14 2015  1:32:00,French,Cambray,ON,K0M 2T0,44.4119178,-78.8236512,705-457-5345,,,705-286-2191,http://www.pointintime.ca,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Inconnu,Gratuit,Accès sans recommandation Aucuns documents requis,Jeunes 12 à 18 ans.,anglais,"Haliburton, Kawartha Lakes"
"Point in Time Centre for Children, Youth and Parents - Counselling Services - Minden",Individual counselling services for youth ages 12 to 18 years old.,114 Bobcaygeon Road,,May 14 2015  1:48:00,English,Minden,ON,K0M 2K0,44.9253974,-78.7249897,705-286-2191,,,705-457-5345,http://www.pointintime.ca,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Unknown,Free,Self Referral No Documentation Required,Youth 12 to 18 years old,English,"Haliburton, Kawartha Lakes"
"Point in Time Centre for Children, Youth and Parents - Counselling Services - Minden",Conseil individuelle pour les jeunes 12 à 18 ans.,"114, chemin Bobcaygeon",rural route 13,May 14 2015  1:48:00,French,Minden,ON,K0M 2K0,44.9253974,-78.7249897,705-286-2191,,,705-457-3492,http://www.pointintime.ca,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Inconnu,Gratuit,Accès sans recommandation Aucuns documents requis,Jeunes 12 à 18 ans,anglais,"Haliburton, Kawartha Lakes"
Northumberland Community Counselling Centre - Community Counselling Program - Campbellford,"Professional counselling staff offer assessment and a range of therapeutic and supportive short-term based conselling approaches for adults, youth and children.",39 Doxsee Avenue North,,Apr  2 2016 12:00:00,English,Campbellford,ON,K0L 1L0,44.3093393,-77.7959267,905-372-6318,1-866-748-5720,,,http://www.northumberlandccc.com,By appointment only,Not Applicable,Free,Self Referral and Parental/Guardian Referral Required for youth under age 12.   Referral Document(s),"Children, youth and adults in Northumberland County",English,Northumberland
Northumberland Community Counselling Centre - Community Counselling Program - Campbellford,"Counselling et soutien thérapeutique pour les adultes, jeunes et enfants.","39, anenue Doxsee nord",,Apr  2 2016 12:00:00,French,Campbellford,ON,K0L 1L0,44.3093393,-77.7959267,905-372-6318,1-866-748-5720,,,http://www.northhumberlandccc.com,rendez-vous seulement,Inconnu,Gratuit,Accès sans recommandation et Recommadation d'un parent/tuteur requise pour les enfants moins de 12 ans. Dcoument(s) de recommandation,"enfants, jeunes et adultes dans le comté de Northumberland",anglais,Northumberland
Northumberland Community Counselling Centre - Community Counselling Program - Cobourg,"Professional counselling staff offer assessment and a range of therapeutic and supportive short-term based conselling approaches for adults, youth and children.",12 Elgin Street East,Unit D,Mar 22 2016  2:32:42,English,Cobourg,ON,K9A 0C5,43.9780848,-78.1702567,905-372-6318,1-866-748-5720,,,http://www.northumberlandccc.com,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  evening appointments can be arranged,Unknown,Free,Self Referral and Parental/Guardian Referral Required for youth under age 12.   Referral Document(s),"Children, youth and adults in Northumberland County",English,Northumberland
Northumberland Community Counselling Centre - Community Counselling Program - Cobourg,"Conseil et soutien thérapeutique pour les adultes, jeunes et enfants.",12 rue Elgin Est,Bureau D,Mar 22 2016  2:32:42,French,Cobourg,ON,K9A 0C5,43.9780848,-78.1702567,905-372-6318,1-866-748-5720,,,http://www.northumberlandccc.com,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  rendez-vous du soir disponible,Inconnu,Gratuit,Accès sans recommendation et Recommandation d'un parent/tuteur requise pour les enfants moins de 12 ans. Document(s) de recommandation,"Enfants, jeunes et adultes dans le comté de Northumberland",anglais,Northumberland
Oxford-Elgin Child and Youth Centre - Counselling Services - Elgin,Provides confidential counselling services to young people and their families.,300 South Edgeware Road,Unit 001,Mar 11 2016  4:42:30,English,St Thomas,ON,N5P 4L1,42.7933371,-81.1638369,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,Children and youth 18 years and younger.,English,"Elgin, OxfordSt Thomas, Elgin"
Oxford-Elgin Child and Youth Centre - Counselling Services - Elgin,Offre aux jeunes et à leurs familles des services de counseling confidentiels.,"300, chemin South Edgeware",Suite 001,Mar 11 2016  4:42:30,French,St Thomas,ON,N5P 4L1,42.7933371,-81.1638369,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h *,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes de 18 ans et moins.,anglais,"Elgin, OxfordSt Thomas, Elgin"
Oxford-Elgin Child and Youth Centre - Counselling Services - Ingersoll,Provides confidential counselling services to young people and their families.,121 Thames Street North,Fusion Youth Activity and Technology Centre,Mar 11 2016  4:42:50,English,Ingersoll,ON,N5C 3C9,43.0423483,-80.8878076,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,Children and youth 18 years and younger.,English,"Elgin, OxfordIngersoll, Oxford"
Oxford-elgin Child and Youth Centre - Counselling Services - Ingersoll,Offre aux jeunes et à leurs familles des services de counseling confidentiels.,"121, rue Thames nord",Fusion Youth Activity and Technology Centre,Mar 11 2016  4:42:50,French,Ingersoll,ON,N5C 3C9,43.0423483,-80.8878076,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h *,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes de 18 ans et moins.,anglais,"Elgin, OxfordIngersoll, Oxford"
Oxford-Elgin Child and Youth Centre - Counselling Services - Tillsonburg,Provides confidential counselling services to young people and their families.,1 Library Lane,,Mar 11 2016  4:44:08,English,Tillsonburg,ON,N4G 4W3,42.861547,-80.7296149,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,Children and youth 18 years and younger.,English,"Elgin, OxfordTillsonburg, Oxford"
Oxford-Elgin Child and Youth Centre - Counselling Services - Tillsonburg,Offre aux jeunes et à leurs familles des services de counseling confidentiels.,"1, allée Library",,Mar 11 2016  4:44:08,French,Tillsonburg,ON,N4G 4W3,42.861547,-80.7296149,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h *,Accessible partiellement,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes de 18 ans et moins.,anglais,"Elgin, OxfordTillsonburg, Oxford"
Oxford-Elgin Child and Youth Centre - Counselling Services - Woodstock,Provides confidential counselling services to young people and their families.,912 Dundas Street,,Mar 23 2016  7:38:52,English,Woodstock,ON,N4S 1H1,43.133115,-80.736007,519-539-0463,1-877-539-0463,,519-539-7058,http://www.ocyc.on.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,Children and youth up to the age of 18,English,"Elgin, OxfordWoodstock, Oxford"
Oxford-Elgin Child and Youth Centre - Counselling Services - Woodstock,Offre aux jeunes et à leurs familles des services de counseling confidentiels.,"912, rue Dundas",,Mar 23 2016  7:38:52,French,Woodstock,ON,N4S 1H1,43.133115,-80.736007,519-539-0463,1-877-539-0463,,,http://www.ocyc.on.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h *,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et Jeunes de 18 ans et moins.,anglais,"Elgin, OxfordWoodstock, Oxford"
Pathstone Mental Health - Family Intervention - Merrittville,"Offers family-focused counselling services, including individual, family and group therapy to assist children and adolescents who are experiencing difficulties in their home, school, and community with social, emotional, and behavioural problems.  Service referrals are made through Contact Niagara.",1604 Merrittville Highway,,Apr 16 2014  5:07:00,English,Welland,ON,L3B 5N5,43.020376,-79.247989,905-684-3407,,,,http://www.pathstonementalhealth.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Free,Professional (non-medical) Referral Required No Documentation Required,Children and youth 18 years and younger.,English,"NiagaraWelland, Niagara"
Pathstone Mental Health - Family Intervention - Merrittville,"Offre des services de counselling centrés sur la famille, notamment des services de counseling individuels, en famille et en groupe.  Les services ont pour but d'aider les enfants et les jeunes qui éprouvent des problèmes sociaux, émotionnels et de comportement et qui font face à des difficultés à la maison, à l'école et dans la communauté. Toute recommandation au service est faite par le biais de Contact Niagara.","1604, route Merrittville",,Apr 16 2014  5:07:00,French,Welland,ON,L3B 5N5,43.020376,-79.247989,905-684-3407,,,,http://www.pathstonementalhealth.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Recommandation professionnelle (non-médicale) requise Aucuns documents requis,Enfants et jeunes de 18 ans et moins.,anglais,"NiagaraWelland, Niagara"
Pathstone Mental Health - Family Intervention - Thorold,"Offers family-focused counselling services, including individual, family and group therapy to assist children and adolescents who are experiencing difficulties in their home, school, and community with social, emotional, and behavioural problems.",3340 Schmon Parkway,,Jun 11 2015  5:23:00,English,St Catharines,ON,L2V 4Y6,43.112392,-79.242457,905-684-3407,,,,http://www.pathstonementalhealth.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Free,Professional (non-medical) Referral Required No Documentation Required,Children and youth 18 years and younger.,English,"NiagaraSt Catharines, Niagara"
Pathstone Mental Health - Family Intervention - Thorold,"Offre des services de counselling centrés sur la famille, notamment des services de counseling individuels, en famille et en groupe.  Les services ont pour but d'aider les enfants et les jeunes qui éprouvent des problèmes sociaux, émotionnels et de comportement et qui font face à des difficultés à la maison, à l'école et dans la communauté. Toute recommandation au service est faite par le biais de Contact Niagara.","3340, promenade Schmon",,Jun 11 2015  5:23:00,French,St Catharines,ON,L2V 4Y6,43.112392,-79.242457,905-684-3407,,,,http://www.pathstonementalhealth.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Recommandation professionnelle (non-médicale) requise Aucuns documents requis,Enfants et jeunes de 18 ans et moins.,anglais,"NiagaraSt Catharines, Niagara"
Firefly - Child and Family Intervention - Atikokan,"Offers service for families with children and youth who are experiencing social, emotional or behavioral difficulties.  Counselling intervention is offered as well as referrals for assessment/consultation from a psychologist or psychiatrist.",211 Main Street,,May 12 2014  3:38:20,English,Atikokan,ON,P0T 1C0,48.7576214,-91.6242152,807-597-4528,1-800-465-7203,,807-274-0482,http://www.fireflynw.ca/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,Parental/Guardian Referral Required No Documentation Required,Children and youth 6-17,English,"Kenora, Rainy RiverAtikokan, Rainy River"
Firefly - Child and Family Intervention - Atikokan,"Offre des services de counseling et d'intervention aux enfants, aux jeunes qui éprouvent des difficultés sociales, émotionnelles et de comportement.","211, rue Main",,May 12 2014  3:38:20,French,Atikokan,ON,P0T 1C0,48.7576214,-91.6242152,807-597-4528,1-800-465-7203,,807-274-0482,http://www.fireflynw.ca,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,Recommandation d'un parent/tuteur requise Aucuns documents requis,Enfants et jeunes de 6-17 ans.,anglais,"Kenora, Rainy RiverAtikokan, Rainy River"
Firefly - Child and Family Intervention - Fort Frances,"Offers service for families with children and youth who are experiencing social, emotional or behavioral difficulties.  Counselling intervention is offered as well as referrals for assessment/consultation from a psychologist or psychiatrist.",240 First Street East,Suite 201,May 12 2014  3:44:58,English,Fort Frances,ON,P9A 1K5,48.6110402,-93.3968687,807-274-7787,1-800-465-7203,,807-274-0482,http://www.fireflynw.ca/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,Parental/Guardian Referral Required No Documentation Required,"Children and youth 6-17 who are experiencing social, emotional or behavioral difficulties",English,"Kenora, Rainy RiverFort Frances, Rainy River"
Firefly - Child and Family Intervention - Fort Frances,"Offre des services de counseling et d'intervention aux enfants, aux jeunes qui éprouvent des difficultés sociales, émotionnelles et de comportement.","240, rue First est",Suite 201,May 12 2014  3:44:58,French,Fort Frances,ON,P9A 1K5,48.6110402,-93.3968687,807-274-7787,1-800-465-7203,,807-274-0482,http://www.fireflynw.ca/,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,Recommandation d'un parent/tuteur requise Aucuns documents requis,Enfants et jeunes de 6-17 ans.,anglais,"Kenora, Rainy RiverFort Frances, Rainy River"
Firefly - Child and Family Intervention - Dryden,"Offers service for families with children and youth who are experiencing social, emotional or behavioral difficulties.  Counselling intervention is offered as well as referrals for assessment/consultation from a psychologist or psychiatrist.",75 Van Horne Avenue,Unit C,Jun 20 2014  2:03:00,English,Dryden,ON,P8N 2B2,49.7810138,-92.8363437,807-223-8550,1-800-465-7203,,807-274-0482,http://www.fireflynw.ca/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,Parental/Guardian Referral Required No Documentation Required,"children and youth 6-17 who are experiencing social, emotional or behavioral difficulties",English,"Kenora, Rainy RiverDryden, Kenora"
Firefly - Child and Family Intervention - Dryden,"Offre des services de counseling et d'intervention aux enfants, aux jeunes qui éprouvent des difficultés sociales, émotionnelles et de comportement.","75, avenue Van Horne",suite C,Jun 20 2014  2:03:00,French,Dryden,ON,P8N 2B2,49.7810138,-92.8363437,807-223-8550,1-800-465-7203,,807-274-0482,http://www.fireflynw.ca/,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,Recommandation d'un parent/tuteur requise Aucuns documents requis,Enfants et jeunes de 6-17 ans.,anglais,"Kenora, Rainy RiverDryden, Kenora"
